alunoid,campus,curso,anoingresso,periodoingresso,dataconclusao,forma_acesso_seletivo,rendabruta,ira,modalidade,genero,raca,idade,ficou_tempo_sem_estudar,razao_ausencia_educacional,quantidade_computadores,exclusivo_rede_publica,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,situacao,pontuacao_seletivo,percentual_frequencia,reprovacoes,idioma
137109,COD,Licenciatura em Ciências Agrárias,2021,1,,CON,400.0,8.6,Licenciatura,M,Preta,20,False,,0.0,False,Pais,Ensino médio completo,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,97,0,False
112840,BAR,Barreirinhas - Licenciatura em Ciências Biológicas,2019,1,,COT,550.0,8.76,Licenciatura,M,Parda,25,False,,0.0,False,Sozinho,Ensino fundamental incompleto,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Trabalho informal/Bico,Matriculado,,98,0,False
50922,CAX,Caxias - Bacharelado em Ciência da Computação,2014,1,2018-02-22,CON,1008.0,8.48,Bacharelado,M,Parda,26,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Formado,,100,0,False
126403,ZDC,Licenciatura em Matemática,2020,1,,COT,10.45,3.94,Licenciatura,M,Parda,19,False,,0.0,False,Mãe,Ensino fundamental completo,Ensino fundamental completo,0.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,100,9,False
128605,CAX,Caxias - Licenciatura em Ciências Biológicas,2020,2,,COT,0.0,8.24,Licenciatura,F,Parda,22,False,,0.0,False,Mãe,Ensino fundamental incompleto,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,97,0,False
119149,SIN,Santa Inês - Licenciatura em Física,2020,1,,COT,1350.0,1.89,Licenciatura,F,Branca,21,False,,0.0,False,Avó,Ensino médio completo,Não sei informar,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Cancelado,,84,11,False
127642,SIN,Bacharelado em Engenharia da Computação,2020,1,,CON,998.0,9.42,Bacharelado,M,Preta,27,False,,0.0,False,Cônjuge,Ensino fundamental completo,Ensino médio completo,1.0,União Estável,1,Urbano,Não está trabalhando,Matriculado,,100,0,False
151874,SJP,Licenciatura em Matemática,2022,1,,COT,8.0,0.0,Licenciatura,M,Preta,19,False,,0.0,False,Mãe,Ensino fundamental incompleto,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,97,0,False
153884,SJP,Bacharelado em Administração,2022,1,,CON,1200.0,0.0,Bacharelado,M,Branca,18,False,,,False,Pais,Ensino fundamental incompleto,Ensino fundamental incompleto,,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,96,0,False
27243,MTC,Engenharia Civil,2011,1,,COT,0.0,7.57,Bacharelado,M,Parda,38,False,,0.0,False,Cônjuge,Ensino médio completo,Ensino médio completo,2.0,Casado(a),1,Urbano,Trabalha com vínculo empregatício,Concludente,,100,0,False
154748,SIN,Bacharelado em Engenharia da Computação,2022,1,,COT,3224.0,0.0,Bacharelado,M,Parda,28,False,,0.0,False,Mãe,Ensino médio completo,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Autônomo,Matriculado,,91,0,False
137579,ZDC,Licenciatura em Química,2021,1,,CON,175.0,0.0,Licenciatura,M,Parda,18,False,,0.0,False,Mãe,Ensino médio completo,Não conhece,0.0,Solteiro(a),0,Rural,Não está trabalhando,Cancelado,,100,0,False
125555,COD,Licenciatura em Matemática,2020,1,,COT,1045.0,4.88,Licenciatura,M,Preta,25,False,,1.0,False,Pais,Ensino médio incompleto,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,90,6,False
82958,ZDC,Licenciatura em Matemática,2017,1,,CON,0.0,6.32,Licenciatura,M,Branca,28,False,,0.0,False,Cônjuge,Ensino médio completo,Ensino superior completo,0.0,Casado(a),0,Rural,Não está trabalhando,Matriculado,,89,6,False
82207,ITZ,Licenciatura em Física - Imperatriz,2017,1,,,1000.0,0.0,Licenciatura,M,Parda,27,False,,0.0,False,Cônjuge,Ensino médio incompleto,Ensino fundamental incompleto,1.0,União Estável,1,Urbano,Não está trabalhando,Cancelado,,100,0,False
152855,MTC,Licenciatura em Matemática,2022,1,,CON,7000.0,0.0,Licenciatura,M,Branca,20,False,,0.0,False,Pais,Ensino superior completo,Ensino superior completo,3.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,98,0,True
125290,ITZ,Bacharelado em Ciência da Computação Imperatriz,2020,1,,CON,0.0,8.0,Bacharelado,M,Parda,23,False,,0.0,False,Sozinho,Ensino fundamental incompleto,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,99,3,True
110947,SRM,GRADUAÇÃO EM AGRONOMIA,2019,1,,COT,1400.0,8.17,Bacharelado,M,Parda,26,False,,,False,Pais,Ensino fundamental incompleto,Ensino fundamental incompleto,,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,95,2,False
113458,SIN,Bacharelado em Engenharia da Computação,2019,1,,COT,0.0,7.58,Bacharelado,M,Preta,28,False,,0.0,False,Sozinho,Ensino superior completo,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,99,4,False
69137,COD,Licenciatura em Matemática,2016,1,,CON,1037.0,6.22,Licenciatura,M,Parda,26,False,,1.0,False,Cônjuge,Ensino médio completo,Ensino fundamental incompleto,0.0,Casado(a),1,Urbano,Empresa privada,Cancelado,,100,0,False
116519,ITZ,Bacharelado em Engenharia Elétrica  Imperatriz,2019,2,,COT,6800.0,7.53,Bacharelado,M,Parda,25,False,,0.0,False,Pais,Ensino superior incompleto,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,98,4,False
111168,TMN,Curso de Licenciatura em Ciências Biológicas,2019,1,,CON,954.0,0.9,Licenciatura,M,Preta,21,False,,0.0,False,Mãe,Pós-gradução completa,Pós-gradução completa,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Trancada,,67,16,False
87542,MTC,Licenciatura em Matemática,2017,2,,CON,800.0,0.0,Licenciatura,M,Parda,34,False,,1.0,False,Cônjuge,Ensino superior completo,Ensino médio completo,0.0,Casado(a),0,Urbano,Não está trabalhando,Matriculado,,100,0,False
114665,BTC,Buriticupu - Licenciatura em Matemática Enem,2019,2,,CON,800.0,6.31,Licenciatura,M,Branca,22,False,,,False,Mãe,Ensino médio completo,Ensino fundamental completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,85,7,False
95862,SIN,Santa Inês - Bacharelado em Administração - Noturno,2018,1,,COT,1045.0,7.9,Bacharelado,F,Parda,21,False,,0.0,False,Mãe,Ensino superior completo,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Estágio ou bolsa,Matriculado,,95,2,True
119127,SIN,Bacharelado em Engenharia da Computação,2020,1,,CON,2132.0,0.0,Bacharelado,M,Parda,20,False,,0.0,False,Mãe,Ensino superior completo,Ensino superior completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Cancelado,,80,7,False
96294,SIN,Santa Inês - Licenciatura em Física,2018,1,,COT,19.76,4.55,Licenciatura,M,Parda,22,False,,0.0,False,Tios,Ensino médio completo,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,96,6,False
152731,MTC,Licenciatura em Química,2022,1,,COT,1200.0,0.0,Licenciatura,M,Parda,26,False,,0.0,False,Sozinho,Ensino fundamental incompleto,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Trabalho informal/Bico,Matriculado,,55,0,False
99052,SJP,Bacharelado em Administração,2018,1,2022-03-21,CON,50.0,8.43,Bacharelado,M,Preta,21,False,,0.0,False,Mãe,Pós-gradução completa,Ensino médio incompleto,2.0,Solteiro(a),0,Urbano,Não está trabalhando,Formado,,97,0,False
112651,COD,Licenciatura em Química,2019,1,,CON,372.03,6.3,Licenciatura,M,Parda,24,False,,0.0,False,Mãe,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Trancado Voluntariamente,,97,5,False
62516,BTC,Buriticupu - Licenciatura Plena em Biologia Pafor - Integral,2015,2,,CON,0.0,8.24,Licenciatura,M,Parda,36,False,,0.0,False,Outro,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),2,Rural,Não está trabalhando,Matriculado,,100,0,False
41236,ACA,Licenciatura em Química,2013,2,,CON,3500.0,7.19,Licenciatura,M,Parda,36,False,,0.0,False,Cônjuge,Ensino fundamental incompleto,Ensino fundamental incompleto,1.0,Casado(a),2,Urbano,Trabalha com vínculo empregatício,Concludente,,100,0,False
139499,COD,Licenciatura em Química,2021,1,,CON,300.0,9.29,Licenciatura,M,Parda,21,False,,0.0,False,Mãe,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,100,0,True
153950,ITZ,Bacharelado em Engenharia Elétrica  Imperatriz,2022,2,,COT,1236.0,0.0,Bacharelado,M,Branca,22,False,,0.0,False,Mãe,Ensino superior incompleto,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,100,0,True
